State,HCAHPS Question,HCAHPS Measure ID,HCAHPS Answer Description,HCAHPS Answer Percent,Footnote,Start Date,End Date
CA,"Patients who reported that their nurses ""Always"" communicated well",H_COMP_1_A_P,"Nurses ""always"" communicated well",77,,1/1/2019,12/31/2019
CA,"Patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well",H_COMP_1_SN_P,"Nurses ""sometimes"" or ""never"" communicated well",6,,1/1/2019,12/31/2019
CA,"Patients who reported that their nurses ""Usually"" communicated well",H_COMP_1_U_P,"Nurses ""usually"" communicated well",17,,1/1/2019,12/31/2019
CA,"Patients who reported that their nurses ""Always"" treated them with courtesy and respect",H_NURSE_RESPECT_A_P,"Nurses ""always"" treated them with courtesy and  respect",84,,1/1/2019,12/31/2019
CA,"Patients who reported that their nurses ""Sometimes"" or ""Never""  treated them with courtesy and respect",H_NURSE_RESPECT_SN_P,"Nurses ""sometimes"" or ""never"" treated them with courtesy and  respect",4,,1/1/2019,12/31/2019
CA,"Patients who reported that their nurses ""Usually""  treated them with courtesy and respect",H_NURSE_RESPECT_U_P,"Nurses ""usually""  treated them with courtesy and  respect",12,,1/1/2019,12/31/2019
CA,"Patients who reported that their nurses ""Always"" listened carefully to them",H_NURSE_LISTEN_A_P,"Nurses ""always"" listened carefully",73,,1/1/2019,12/31/2019
CA,"Patients who reported that their nurses ""Sometimes"" or ""Never"" listened carefully to them",H_NURSE_LISTEN_SN_P,"Nurses ""sometimes"" or ""never"" listened carefully",6,,1/1/2019,12/31/2019
CA,"Patients who reported that their nurses ""Usually"" listened carefully to them",H_NURSE_LISTEN_U_P,"Nurses ""usually"" listened carefully",21,,1/1/2019,12/31/2019
CA,"Patients who reported that their nurses ""Always"" explained things in a way they could understand",H_NURSE_EXPLAIN_A_P,"Nurses ""always"" explained things so they could understand",73,,1/1/2019,12/31/2019
CA,"Patients who reported that their nurses ""Sometimes"" or ""Never"" explained things in a way they could understand",H_NURSE_EXPLAIN_SN_P,"Nurses ""sometimes"" or ""never"" explained things so they could understand",7,,1/1/2019,12/31/2019
CA,"Patients who reported that their nurses ""Usually"" explained things in a way they could understand",H_NURSE_EXPLAIN_U_P,"Nurses ""usually"" explained things so they could understand",20,,1/1/2019,12/31/2019
CA,"Patients who reported that their doctors ""Always"" communicated well",H_COMP_2_A_P,"Doctors ""always"" communicated well",78,,1/1/2019,12/31/2019
CA,"Patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well",H_COMP_2_SN_P,"Doctors ""sometimes"" or ""never"" communicated well",6,,1/1/2019,12/31/2019
CA,"Patients who reported that their doctors ""Usually"" communicated well",H_COMP_2_U_P,"Doctors ""usually"" communicated well",16,,1/1/2019,12/31/2019
CA,"Patients who reported that their doctors ""Always"" treated them with courtesy and respect",H_DOCTOR_RESPECT_A_P,"Doctors ""always"" treated them with courtesy and  respect",84,,1/1/2019,12/31/2019
CA,"Patients who reported that their doctors ""Sometimes"" or ""Never""  treated them with courtesy and respect",H_DOCTOR_RESPECT_SN_P,"Doctors ""sometimes"" or ""never"" treated them with courtesy and  respect",4,,1/1/2019,12/31/2019
CA,"Patients who reported that their doctors ""Usually""  treated them with courtesy and respect",H_DOCTOR_RESPECT_U_P,"Doctors ""usually""  treated them with courtesy and  respect",12,,1/1/2019,12/31/2019
CA,"Patients who reported that their doctors ""Always"" listened carefully to them",H_DOCTOR_LISTEN_A_P,"Doctors ""always"" listened carefully",76,,1/1/2019,12/31/2019
CA,"Patients who reported that their doctors ""Sometimes"" or ""Never"" listened carefully to them",H_DOCTOR_LISTEN_SN_P,"Doctors ""sometimes"" or ""never"" listened carefully",7,,1/1/2019,12/31/2019
CA,"Patients who reported that their doctors ""Usually"" listened carefully to them",H_DOCTOR_LISTEN_U_P,"Doctors ""usually"" listened carefully",17,,1/1/2019,12/31/2019
CA,"Patients who reported that their doctors ""Always"" explained things in a way they could understand",H_DOCTOR_EXPLAIN_A_P,"Doctors ""always"" explained things so they could understand",73,,1/1/2019,12/31/2019
CA,"Patients who reported that their doctors ""Sometimes"" or ""Never"" explained things in a way they could understand",H_DOCTOR_EXPLAIN_SN_P,"Doctors ""sometimes"" or ""never"" explained things so they could understand",7,,1/1/2019,12/31/2019
CA,"Patients who reported that their doctors ""Usually"" explained things in a way they could understand",H_DOCTOR_EXPLAIN_U_P,"Doctors ""usually"" explained things so they could understand",20,,1/1/2019,12/31/2019
CA,"Patients who reported that they ""Always"" received help as soon as they wanted",H_COMP_3_A_P,"Patients ""always"" received help as soon as they wanted",64,,1/1/2019,12/31/2019
CA,"Patients who reported that they ""Sometimes"" or ""Never"" received help as soon as they wanted",H_COMP_3_SN_P,"Patients ""sometimes"" or ""never"" received help as soon as they wanted",11,,1/1/2019,12/31/2019
CA,"Patients who reported that they ""Usually"" received help as soon as they wanted",H_COMP_3_U_P,"Patients ""usually"" received help as soon as they wanted",25,,1/1/2019,12/31/2019
CA,"Patients who reported that they ""Always"" received help after using the call button as soon as they wanted",H_CALL_BUTTON_A_P,"Patients ""always"" received call button help as soon as they wanted",62,,1/1/2019,12/31/2019
CA,"Patients who reported that they ""Sometimes"" or ""Never"" received help after using the call button as soon as they wanted",H_CALL_BUTTON_SN_P,"Patients ""sometimes"" or ""never"" received call button help as soon as they wanted",11,,1/1/2019,12/31/2019
CA,"Patients who reported that they ""Usually"" received help after using the call button as soon as they wanted",H_CALL_BUTTON_U_P,"Patients ""usually"" received call button help as soon as they wanted",27,,1/1/2019,12/31/2019
CA,"Patients who reported that they ""Always"" received bathroom help as soon as they wanted",H_BATH_HELP_A_P,"Patients ""always"" received bathroom help as soon as they wanted",65,,1/1/2019,12/31/2019
CA,"Patients who reported that they ""Sometimes"" or ""Never"" received bathroom help as soon as they wanted",H_BATH_HELP_SN_P,"Patients ""sometimes"" or ""never"" received bathroom help as soon as they wanted",11,,1/1/2019,12/31/2019
CA,"Patients who reported that they ""Usually"" received bathroom help as soon as they wanted",H_BATH_HELP_U_P,"Patients ""usually"" received bathroom help as soon as they wanted",24,,1/1/2019,12/31/2019
CA,"Patients who reported that staff ""Always"" explained about medicines before giving it to them",H_COMP_5_A_P,"Staff ""always"" explained",63,,1/1/2019,12/31/2019
CA,"Patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them",H_COMP_5_SN_P,"Staff ""sometimes"" or ""never"" explained",19,,1/1/2019,12/31/2019
CA,"Patients who reported that staff ""Usually"" explained about medicines before giving it to them",H_COMP_5_U_P,"Staff ""usually"" explained",18,,1/1/2019,12/31/2019
CA,"Patients who reported that when receiving new medication the staff ""Always"" communicated what the medication was for",H_MED_FOR_A_P,"Staff ""always"" explained new medications",76,,1/1/2019,12/31/2019
CA,"Patients who reported that when receiving new medication the staff ""Sometimes"" or ""Never"" communicated what the medication was for",H_MED_FOR_SN_P,"Staff ""sometimes"" or ""never"" explained new medications",9,,1/1/2019,12/31/2019
CA,"Patients who reported that when receiving new medication the staff ""Usually"" communicated what the medication was for.",H_MED_FOR_U_P,"Staff ""usually"" explained new medications",15,,1/1/2019,12/31/2019
CA,"Patients who reported that when receiving new medication the staff ""Always"" discussed possible side effects",H_SIDE_EFFECTS_A_P,"Staff ""always"" explained possible side effects",50,,1/1/2019,12/31/2019
CA,"Patients who reported that when receiving new medication the staff ""Sometimes"" or ""Never"" discussed possible side effects",H_SIDE_EFFECTS_SN_P,"Staff ""sometimes"" or ""never"" explained possible side effects",29,,1/1/2019,12/31/2019
CA,"Patients who reported that when receiving new medication the staff ""Usually"" discussed possible side effects",H_SIDE_EFFECTS_U_P,"Staff ""usually"" explained possible side effects",21,,1/1/2019,12/31/2019
CA,"Patients who reported that NO, they were not given information about what to do during their recovery at home",H_COMP_6_N_P,"No, staff ""did not"" give patients this information",14,,1/1/2019,12/31/2019
CA,"Patients who reported that YES, they were given information about what to do during their recovery at home",H_COMP_6_Y_P,"Yes, staff ""did"" give patients this information",86,,1/1/2019,12/31/2019
CA,"Patients who reported that NO, they did not discuss whether they would need help after discharge",H_DISCH_HELP_N_P,"No, staff ""did not"" give patients information about help after discharge",16,,1/1/2019,12/31/2019
CA,"Patients who reported that YES, they did discuss whether they would need help after discharge",H_DISCH_HELP_Y_P,"Yes, staff ""did"" give patients information about help after discharge",84,,1/1/2019,12/31/2019
CA,"Patients who reported that NO, they did not receive written information about possible symptoms to look out for after discharge",H_SYMPTOMS_N_P,"No, staff ""did not"" give patients information about possible symptoms",12,,1/1/2019,12/31/2019
CA,"Patients who reported that YES, they did receive written information about possible symptoms to look out for after discharge",H_SYMPTOMS_Y_P,"Yes, staff ""did"" give patients information about possible symptoms",88,,1/1/2019,12/31/2019
CA,"Patients who ""Agree"" they understood their care when they left the hospital",H_COMP_7_A,"Patients who ""Agree"" they understood their care when they left the hospital",44,,1/1/2019,12/31/2019
CA,"Patients who ""Disagree"" or ""Strongly Disagree"" they understood their care when they left the hospital",H_COMP_7_D_SD,"Patients who ""Disagree"" or ""Strongly Disagree"" they understood their care when they left the hospital",6,,1/1/2019,12/31/2019
